Marca temporal,Nombre de la pieza,Descripción,Foto,Descripción de la foto (para personas con discapacidad visual),Estado,Precio en euros (deja vacío si es a consultar),Enlace al post de Instagram,Ocultar,Orden,Nombre EN,Descripción EN
01/08/2026 12:00:00,Bolsitos «Pequeños Tesoros»,"«Pequeños tesoros para sus grandes aventuras. Acolchados para que sean súper blanditos, con su solapa rosa de lunares, sus botones de corazón y esa tela de unicornios que es pura magia para las más peques.» Hechos a su medida.",img/post-13.jpg,"Bolsitos infantiles de patchwork acolchados con solapa rosa de lunares, botones de corazón y tela de unicornios",Por encargo,,https://www.instagram.com/p/DbfgywVNeqt/,,,Mini bags «Pequeños Tesoros»,"“Little treasures for their big adventures. Quilted to be extra soft, with a pink polka-dot flap, heart buttons and that unicorn fabric that is pure magic for the little ones.” Made to their size."
29/06/2026 12:00:00,Neceser «Flores de Tilda»,«Un detalle que sabe a complicidad. Para este encargo especial elegí estas telas de Tilda: tienen ese punto romántico y delicado.» Modelo práctico que se abre por completo.,img/post-01.jpg,Neceser de patchwork acolchado con telas florales de Tilda y cremallera rosa,Por encargo,,https://www.instagram.com/p/DaLepSoDUeJ/,,,Pouch «Flores de Tilda»,"“A gift that tastes of friendship. For this special commission I chose these Tilda fabrics: they have that romantic, delicate touch.” A practical design that opens up completely."
25/06/2026 12:00:00,Neceser «Vichy»,"«No nació solo de la aguja y el hilo, sino de las ganas de hacerle algo único a mi hija.» Rayas y cuadros vichy: alegre, moderno y con carácter; al abrir la cremallera se despliega por completo.",img/post-02.jpg,Neceser de patchwork con triángulos de rayas negras y cuadros vichy amarillos,Por encargo,,https://www.instagram.com/p/DaAqsqwDSTk/,,,Pouch «Vichy»,"“It wasn’t born from needle and thread alone, but from the wish to make something unique for my daughter.” Stripes and gingham checks: cheerful, modern, full of character; it unfolds completely when unzipped."
19/06/2026 12:00:00,Cesta «Costurero»,"«Nació como costurero, pero es mucho más: neceser de viaje, cesta de pícnic, organizador de manualidades o maletita para lo esencial.» Asas resistentes y espacio amplio.",img/post-03.jpg,"Cesta costurero de patchwork con flores y casita aplicadas, llena de materiales de costura",Pieza única,,https://www.instagram.com/p/DZxLSltDaci/,,,Basket «Costurero»,"“It was born as a sewing basket, but it’s much more: a travel pouch, a picnic basket, a craft organiser or a little case for the essentials.” Sturdy handles and plenty of room."
08/06/2026 12:00:00,Bolso «Nudo»,"«Hay días que piden ligereza y piezas que simplemente encajan con todo. El equilibrio perfecto entre diseño moderno y el alma de lo artesanal», tejido con un hilo muy especial.",img/post-04.jpg,Bolso de nudo japonés tejido a mano con hilo negro brillante,Pieza única,,https://www.instagram.com/p/DXzJqHMjcg0/,,,Knot bag «Nudo»,"“Some days call for lightness, and for pieces that simply go with everything. The perfect balance between modern design and handmade soul”, worked in a very special yarn."
28/05/2026 12:00:00,Bolso «Pájaros»,«Un deseo de unir mundos distintos que comparten el mismo corazón artesanal.» Pintura en tela —pájaros de colores vibrantes— sobre patchwork: un viaje de texturas y técnicas.,img/post-05.jpg,Bolso tote de patchwork con pájaros y tulipán pintados a mano estilo folk,Pieza única,,https://www.instagram.com/p/DWcHRPNDVja/,,,Tote «Pájaros»,“A wish to bring together worlds that seem different but share the same handmade heart.” Painting on fabric — birds in vibrant colours — over patchwork: a journey of textures and techniques.
18/05/2026 12:00:00,Colcha «Flor»,"«Hay piezas que no solo se hacen… se construyen puntada a puntada. Cada flor está cosida a mano, como si cada retal fuera un pequeño recuerdo que encuentra su lugar.»",img/post-06.jpg,Colcha de patchwork acolchada a mano con gran flor Dresden de telas de cuadros,Por encargo,,https://www.instagram.com/p/DVqdCPjDdwy/,,,Quilt «Flor»,"“Some pieces aren’t just made… they are built stitch by stitch. Every flower is sewn by hand, as if each scrap were a small memory finding its place.”"
12/05/2026 12:00:00,Bolso «Corazones»,"«Hay bolsos que son puro hogar.» Acolchado, patchwork y aplicaciones cosidas a mano que recuerdan a las labores de antes. Sin prisas. Con intención.",img/post-07.jpg,"Bolso acolchado de patchwork con muñeca, corazones y mariposas aplicados a mano",Pieza única,,https://www.instagram.com/p/DVY9vseDR3a/,,,Bag «Corazones»,"“Some bags feel like home.” Quilting, patchwork and hand-sewn appliqués that recall the needlework of days gone by. No rush. With intention."
08/05/2026 12:00:00,Bolso «Concha»,"«Inspirado en mi abuela Concha: en sus telas, en sus manos siempre creando, en su manera de convertir retales en algo valioso.» Estructura clásica, tonos tierra y boquilla metálica.",img/post-08.jpg,Bolso clásico de boquilla con bloque de patchwork en espiral y asas de cuero,Pieza única,,https://www.instagram.com/p/DVQrR4vDVBE/,,,Bag «Concha»,"“Inspired by my grandmother Concha: her fabrics, her ever-creating hands, her way of turning scraps into something precious.” Classic frame, earthy tones and a metal clasp."
06/05/2026 12:00:00,Bolso «Trenzado Denim»,"«Un diseño que ya conocéis, pero con una nueva historia que contar. Mismo patrón, nueva energía: nuevas telas, nuevas texturas, la misma esencia artesanal.»",img/post-09.jpg,Bolso triangular de tela vaquera entretejida en damero con flecos,Pieza única,,https://www.instagram.com/p/DVOYC4Ujaa5/,,,Bag «Trenzado Denim»,"“A design you already know, but with a new story to tell. Same pattern, new energy: new fabrics, new textures, the same handmade essence.”"
22/04/2026 12:00:00,Cojines «Hogar»,"«Tu sofá merece piezas que cuenten algo más que comodidad. Cojines únicos, llenos de detalles y corazón.» Log cabin con aplicaciones y bordado artesanal.",img/post-10.jpg,Dos cojines de patchwork estilo log cabin con bota y casita bordadas a mano,Vendido,,https://www.instagram.com/p/DUdnmYNjTYe/,,,Cushions «Hogar»,"“Your sofa deserves pieces that say more than comfort. Unique cushions, full of details and heart.” Log cabin blocks with appliqué and hand embroidery."
